longitude,latitude,worldcover_label,eligible_land,damask_rose_model_score,damask_rose_model_class,damask_rose_rule_score,damask_rose_soil_component,damask_rose_water_component,damask_rose_heat_component,damask_rose_vegetation_component,damask_rose_terrain_component
36.35347207539085,33.70523861780651,30,1,53.93,2,53.36,60.0,19.94,93.26,0.0,67.23
36.30765799590076,34.23165137430055,30,1,45.81,1,45.66,25.71,27.78,100.0,0.0,59.99
36.63284812875203,33.72140829292066,60,1,42.68,1,42.59,25.71,32.94,100.0,0.0,16.37
36.55379638374952,33.93341069997287,60,1,52.95,2,53.08,42.86,35.84,95.6,0.0,71.42
36.903241029272,34.155294575150386,60,1,46.94,1,46.46,34.29,22.57,91.94,0.0,71.42
36.65171274971854,33.38364174609172,60,1,44.04,1,44.04,8.57,28.27,100.0,0.0,93.97
36.41635414527922,34.345737415383724,40,1,44.64,1,44.45,8.57,32.35,100.0,0.0,87.86
36.260945601126544,34.22176990617523,20,1,66.57,3,70.45,60.0,62.98,100.0,93.27,23.78
36.64003465102498,34.29633007475715,30,1,34.64,0,34.57,25.71,20.87,83.2,0.0,0.0
36.322031040446674,34.247821049414696,30,1,53.24,2,57.73,25.71,57.68,100.0,20.89,85.11
36.14506292947513,34.2064985463452,30,1,43.47,1,43.8,60.0,60.0,28.99,0.0,0.0
36.33281082385611,34.166972673843944,30,1,52.84,2,53.0,34.29,41.66,100.0,0.0,72.98
36.65979758727561,33.9396989069617,30,1,46.11,1,46.67,51.43,24.96,100.0,0.0,0.0
36.883478093021374,33.38184511552348,60,1,45.31,1,45.29,8.57,35.71,100.0,0.0,87.94
36.61039024664904,33.87771515235745,30,1,45.71,1,45.65,34.29,14.76,95.6,0.0,75.5
36.97420793671745,34.18314234895809,60,1,43.4,1,43.41,25.71,17.91,95.97,0.0,70.26
36.26903043868362,33.68547568155588,30,1,39.11,1,39.53,60.0,13.93,65.22,0.0,0.0
36.128893254360975,34.41670432282917,10,1,66.92,3,67.55,60.0,100.0,47.73,100.0,0.0
36.735256071141656,34.4274841062386,30,1,40.58,1,40.16,25.71,0.99,100.0,0.0,71.92
36.80712129387121,33.47077832865131,60,1,45.1,1,45.08,0.0,42.74,100.0,0.0,93.97
36.801731402166496,34.60535053249427,40,1,46.58,1,46.56,17.14,32.97,100.0,0.0,81.77
36.81700276199653,33.27494559671326,60,1,44.68,1,44.6,0.0,42.39,100.0,0.0,89.98
36.21602983692057,34.785013589318176,10,1,82.18,4,82.29,60.0,100.0,100.0,100.0,42.94
36.49181262914527,34.088819244125546,30,1,28.6,0,27.99,42.86,23.39,21.42,0.0,0.0
36.305861365332525,34.02953043537366,30,1,32.41,0,32.0,25.71,34.05,53.87,0.0,0.0
36.650814434434416,34.1418198458886,60,1,42.44,1,42.69,25.71,29.14,77.95,0.0,70.97
36.63733970517263,34.26938061623357,30,1,45.4,1,45.18,34.29,22.49,83.2,0.0,76.37
36.7738836283588,34.44275546606863,30,1,44.46,1,44.46,17.14,29.19,100.0,0.0,70.22
36.78286678119999,33.71691671650006,60,1,46.99,1,47.04,8.57,45.11,100.0,0.0,81.88
36.33550576970847,34.024140543668935,30,1,43.76,1,44.21,51.43,36.2,53.87,0.0,39.58
36.48372779158819,33.74745943616013,30,1,47.54,1,47.59,34.29,26.53,100.0,0.0,56.71
36.63464475932027,34.37807676561203,30,1,33.18,0,33.15,25.71,1.75,100.0,0.0,0.0
36.49091431386115,34.13463332361564,60,1,24.52,0,24.36,34.29,19.16,21.42,0.0,0.0
36.91761407381792,34.403229593567374,40,1,48.98,1,49.28,25.71,26.26,100.0,0.0,100.0
36.86281684148663,34.34124583896313,60,1,50.05,2,50.12,17.14,44.9,100.0,0.0,87.5
36.21872478277293,33.636068340929306,30,1,43.33,1,43.43,51.43,12.0,100.0,0.0,0.0
36.75232406153992,34.688893853917385,30,1,53.94,2,53.87,42.86,28.93,100.0,0.0,87.83
36.69483188335627,34.67182586351911,40,1,58.79,2,58.61,51.43,35.14,100.0,0.0,93.92
36.63194981346791,34.40502622413562,30,1,31.93,0,31.92,17.14,7.11,100.0,0.0,0.0
36.66608579426445,33.2587759215991,60,1,43.45,1,43.45,0.0,43.17,100.0,0.0,76.59
36.918512389102034,34.03671695764661,60,1,41.57,1,41.74,17.14,25.69,100.0,0.0,51.73
36.29148832078661,33.315369784498635,30,1,43.89,1,43.92,34.29,28.9,100.0,0.0,14.04
36.63105149818379,33.83459601871972,60,1,37.29,1,37.31,25.71,18.39,100.0,0.0,0.0
36.302268104196045,33.91454607900636,30,1,42.51,1,43.49,60.0,52.98,36.25,0.0,0.0
36.21063994521585,34.175057511401015,30,1,52.66,2,51.76,51.43,38.85,69.92,0.0,76.35
36.73795101699401,33.6818824204194,60,1,52.51,2,52.52,25.71,44.23,100.0,0.0,87.51
36.263640546978905,34.52989204862823,10,1,69.14,3,69.85,60.0,85.35,84.8,70.49,14.99
36.68045883881036,33.91813934014284,40,1,57.4,2,57.63,60.0,29.68,100.0,0.0,72.08
36.42084572169982,33.98820793230416,30,1,31.66,0,31.11,60.0,10.65,20.82,0.0,12.83
36.57086437414778,34.371788558623194,30,1,44.34,1,44.4,25.71,19.22,100.0,0.0,68.78
36.91581744324968,34.70236858317918,30,1,41.33,1,41.16,8.57,27.18,100.0,0.0,67.89
36.275318645672456,34.47419650101282,30,1,65.31,3,63.83,51.43,87.79,84.8,44.96,0.0
36.42084572169982,34.01875065196422,30,1,35.78,1,34.83,42.86,33.58,20.82,0.0,44.17
36.73076449472106,34.76704728363578,40,1,75.2,3,75.13,51.43,65.0,100.0,100.0,84.55
