longitude,latitude,worldcover_label,eligible_land,olive_model_score,olive_model_class,olive_rule_score,olive_soil_component,olive_water_component,olive_heat_component,olive_vegetation_component,olive_terrain_component
36.35347207539085,33.70523861780651,30,1,56.47,2,56.47,60.0,66.1,59.92,3.02,78.15
36.30765799590076,34.23165137430055,30,1,60.31,2,59.8,60.0,77.92,69.42,0.0,73.33
36.63284812875203,33.72140829292066,60,1,60.13,2,60.1,60.0,65.0,98.39,0.0,44.24
36.55379638374952,33.93341069997287,60,1,56.58,2,56.55,60.0,65.0,62.27,0.0,80.95
36.903241029272,34.155294575150386,60,1,55.75,2,55.82,60.0,65.0,58.61,0.0,80.94
36.65171274971854,33.38364174609172,60,1,63.35,2,63.35,52.5,65.0,100.0,0.0,95.98
36.41635414527922,34.345737415383724,40,1,62.08,2,62.38,52.5,73.48,88.71,0.0,91.91
36.260945601126544,34.22176990617523,20,1,79.6,3,76.8,60.0,100.0,69.42,100.0,49.19
36.64003465102498,34.29633007475715,30,1,45.62,1,45.81,60.0,64.2,49.87,0.0,0.0
36.322031040446674,34.247821049414696,30,1,78.38,3,78.65,60.0,100.0,69.42,85.07,90.07
36.14506292947513,34.2064985463452,30,1,53.37,2,52.09,60.0,87.95,0.0,54.43,33.32
36.33281082385611,34.166972673843944,30,1,64.1,2,63.88,60.0,92.77,69.42,1.59,81.98
36.65979758727561,33.9396989069617,30,1,54.41,2,54.47,60.0,65.0,81.28,0.0,22.1
36.883478093021374,33.38184511552348,60,1,62.95,2,62.95,52.5,65.0,100.0,0.0,91.96
36.61039024664904,33.87771515235745,30,1,55.37,2,55.44,60.0,58.09,62.27,0.0,83.67
36.97420793671745,34.18314234895809,60,1,55.74,2,55.79,60.0,61.25,62.63,0.0,80.17
36.26903043868362,33.68547568155588,30,1,43.73,1,43.71,60.0,71.67,31.89,0.0,0.0
36.128893254360975,34.41670432282917,10,1,59.9,2,60.88,60.0,100.0,14.4,100.0,0.0
36.735256071141656,34.4274841062386,30,1,56.63,2,56.41,60.0,44.33,82.1,0.0,81.28
36.80712129387121,33.47077832865131,60,1,61.1,2,61.1,45.0,65.0,100.0,0.0,95.98
