feature,importance
NDVI,0.5175681362671752
slope_deg,0.16148081808618023
soil_ph,0.08286271078123254
mean_temp_c,0.06079873279991172
SWIR2,0.04572526649079642
BSI,0.042297172684340224
NDMI,0.027468251839515487
NDBI,0.02659266364189008
annual_rain_mm,0.020290877864845586
elevation_m,0.006225220718285879
SWIR1,0.004304071441601783
SAVI,0.0009924976892626539
NDWI,0.0009696269981830204
EVI,0.0008489448583681082
BLUE,0.00033892667133444645
GREEN,0.00028785662518616175
RED,0.00022998952538124415
NIR,0.0001723260833282167
RE1,0.0001561927007568224
RE2,0.00015042909507741392
RE3,0.00014988384798699455
soil_org_carbon,8.940328935966143e-05
